eventName,eventSource,eventTimestamp,textDelta,cursorRange,currentDoc,currentCursor,currentSuggestions,currentSuggestionIndex,currentHoverIndex,currentN,currentMaxToken,currentTemperature,currentTopP,currentPresencePenalty,currentFrequencyPenalty,eventNum,session_id,text
text-insert,user,2021-08-29 12:12:56.181,"{'ops': [{'retain': 435}, {'insert': 'w'}]}",,,436,[],0,,5,30,0.2,1,0,0.5,102,66887514504f4d5bb9a0ae2be9196fbe,
text-insert,user,2021-08-17 15:07:28.172,"{'ops': [{'retain': 764}, {'insert': ' '}]}",,,765,[],0,3.0,5,30,0.3,1,0,0.0,764,3ab1ca63246449669bf1f7b9c90d379b,
text-insert,user,2021-08-18 10:57:22.470,"{'ops': [{'retain': 1182}, {'insert': 'n'}]}",,,1183,[],0,0.0,5,30,0.3,1,0,0.0,547,2a907d5c4723445c9c9653cb1ba65876,
text-insert,user,2021-08-29 07:06:47.169,"{'ops': [{'retain': 1969}, {'insert': 'o'}]}",,,1970,[],1,1.0,5,30,0.75,1,0,1.0,1477,8b458eefa9304e608322239981e4ccd1,
text-insert,user,2021-08-28 21:09:00.144,"{'ops': [{'retain': 1417}, {'insert': 'T'}]}",,,1418,[],3,3.0,5,30,0.9,1,0,0.5,869,74d03d9ca487448ebe2ffcbad7399b9d,
text-insert,user,2021-08-16 06:27:45.297,"{'ops': [{'retain': 1924}, {'insert': 'i'}]}",,,1925,[],0,1.0,5,30,0.3,1,0,0.0,1023,3ec4b47601ca4e9892edbd08b3173742,
text-insert,user,2021-08-29 15:06:25.477,"{'ops': [{'retain': 1322}, {'insert': 's'}]}",,,1323,[],2,2.0,5,30,0.3,1,0,0.0,920,aa563d648ec34088a3e6d3924b53cffe,
text-insert,user,2021-08-22 04:27:10.161,"{'ops': [{'retain': 966}, {'insert': 'a'}]}",,,967,[],0,,5,30,0.9,1,0,0.5,613,eefa5bb918f543a088a6ac8680e09e9c,
text-insert,user,2021-09-05 18:16:47.348,"{'ops': [{'retain': 299}, {'insert': 'i'}]}",,,300,[],0,0.0,5,30,0.3,1,0,0.0,181,6938b4a468aa482ba459d2fbe140cb30,
text-insert,user,2021-09-01 06:46:30.226,"{'ops': [{'retain': 1077}, {'insert': ' '}]}",,,1078,[],3,3.0,5,30,0.9,1,0,0.5,705,b8be5a82533b406bbf13aaa587a8d924,
text-insert,user,2021-09-04 01:33:51.923,"{'ops': [{'retain': 3018}, {'insert': 'a'}]}",,,3019,[],0,4.0,5,30,0.3,1,0,0.0,2180,25ad6925dd65422989e3659250ac9bfd,
text-insert,user,2021-09-02 08:38:53.256,"{'ops': [{'retain': 1043}, {'insert': 'n'}]}",,,1044,[],2,2.0,5,30,0.9,1,0,0.5,450,b30082b36e764dbd859c020b10fe78b5,
text-insert,user,2021-08-24 15:08:20.536,"{'ops': [{'retain': 3249}, {'insert': 'u'}]}",,,3250,[],0,0.0,5,30,0.9,1,0,0.5,3265,4593c00c9c5449e2b4b2a66287847ab3,
